pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,0.032879683102633325,0.015438163092020998,0.0131011272978631
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,0.03328027277260123,0.01504458106301872,0.013473894101269986
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,0.03328027277260123,0.015501001819462358,0.013558076955727087
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,0.03328027277260123,0.0114297387958489,0.012793808867993191
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,0.03328027277260123,0.011517771605126135,0.013919165285979756
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,0.03328027277260123,0.010419096927709372,0.012751717440764643
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,0.03328027277260123,0.010254290125237667,0.010858791225854212
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,0.03291707161611928,0.016652274729678635,0.01609223461182984
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,0.03291707161611928,0.019442734441209582,0.016856502699563736
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,0.03291707161611928,0.018810803101311998,0.016772319845106635
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,0.03291707161611928,0.016211906645719257,0.017217591029816404
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,0.03291707161611928,0.01612332645425763,0.017133408175359303
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,0.03291707161611928,0.014666438337986452,0.01415721696969086
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,0.03291707161611928,0.015640971860358895,0.016050143184601292
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,0.05179932080859573,0.022873911797296073,0.020564671779204454
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,0.03776028513879305,0.016716855001327767,0.020195141454013268
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,0.02793662036191585,0.01991149317022554,0.019529311873929416
